participant,run,trial_index,condition,r_cert,r_uncert,probability,odds,raw_action,choice_uncertain,rt_seconds,choice_included,rt_included
2rrjzhgj9,A,95,R,1.0,2.11,0.9,0.11111111111111108,1.0,0.0,3.1250999999045996,True,True
2rrjzhgj9,A,96,R,1.0,1.03,0.75,0.3333333333333333,1.0,0.0,1.5720999999046001,True,True
2rrjzhgj9,A,97,R,1.0,1.33,0.9,0.11111111111111108,1.0,0.0,3.6681999998093002,True,True
2rrjzhgj9,A,98,R,5.0,5.5,0.5,1.0,1.0,0.0,2.149,True,True
2rrjzhgj9,A,99,R,5.0,155.0,0.25,3.0,2.0,1.0,3.0675999999046,True,True
2rrjzhgj9,A,100,R,10.0,20.0,0.75,0.3333333333333333,1.0,0.0,1.7005,True,True
2rrjzhgj9,A,101,L,-1.0,-4.0,0.5,1.0,1.0,0.0,2.1268999998569003,True,True
2rrjzhgj9,A,102,L,-5.0,-5.06,0.9,0.11111111111111108,2.0,1.0,3.212,True,True
2rrjzhgj9,A,103,L,-1.0,-2.0,0.75,0.3333333333333333,2.0,1.0,3.5810999999046,True,True
2rrjzhgj9,A,104,L,-1.0,-28.0,0.1,9.0,1.0,0.0,2.3752999999523,True,True
2rrjzhgj9,A,105,L,-10.0,-910.0,0.1,9.0,1.0,0.0,2.0925,True,True
2rrjzhgj9,A,106,L,-5.0,-10.0,0.5,1.0,2.0,1.0,3.7325,True,True
2rrjzhgj9,A,107,L,-5.0,-10.0,0.75,0.3333333333333333,2.0,1.0,2.932,True,True
2rrjzhgj9,A,108,L,-10.0,-100.0,0.25,3.0,1.0,0.0,2.0757999999523,True,True
2rrjzhgj9,A,109,L,-20.0,-42.220000000000006,0.9,0.11111111111111108,2.0,1.0,2.9497000000476996,True,True
2rrjzhgj9,A,110,L,-5.0,-20.0,0.5,1.0,2.0,1.0,2.1412000000476996,True,True
2rrjzhgj9,A,111,L,-10.0,-40.0,0.5,1.0,1.0,0.0,2.1400999999045998,True,True
2rrjzhgj9,A,112,L,-1.0,-4.33,0.75,0.3333333333333333,1.0,0.0,3.4045,True,True
2rrjzhgj9,A,113,L,-50.0,-65.0,0.25,3.0,2.0,1.0,3.228,True,True
2rrjzhgj9,A,114,L,-10.0,-43.33,0.75,0.3333333333333333,1.0,0.0,2.8347999999523,True,True
2rrjzhgj9,A,115,L,-50.0,-1400.0,0.1,9.0,1.0,0.0,1.9335999999046,True,True
2rrjzhgj9,A,116,L,-20.0,-560.0,0.1,9.0,1.0,0.0,1.8842000000477002,True,True
2rrjzhgj9,A,117,L,-1.0,-1.33,0.75,0.3333333333333333,2.0,1.0,1.4044000000954,True,True
2rrjzhgj9,A,118,L,-20.0,-220.0,0.5,1.0,1.0,0.0,3.6753999998569,True,True
2rrjzhgj9,A,119,L,-20.0,-200.0,0.1,9.0,2.0,1.0,2.1232000000477,True,True
2rrjzhgj9,A,120,L,-5.0,-5.5,0.5,1.0,2.0,1.0,2.9649000000954002,True,True
2rrjzhgj9,A,121,L,-20.0,-620.0,0.25,3.0,1.0,0.0,2.4044000000954,True,True
2rrjzhgj9,A,122,L,-50.0,-216.67,0.75,0.3333333333333333,1.0,0.0,2.2546999998093002,True,True
2rrjzhgj9,A,123,L,-10.0,-11.0,0.5,1.0,1.0,0.0,1.2998000001907,True,True
2rrjzhgj9,A,124,L,-50.0,-55.56,0.9,0.11111111111111108,2.0,1.0,2.5652000000476995,True,True
2rrjzhgj9,A,125,L,-10.0,-280.0,0.1,9.0,1.0,0.0,2.5092999999523,True,True
2rrjzhgj9,A,126,L,-1.0,-10.0,0.1,9.0,2.0,1.0,0.76410000014305,True,True
2rrjzhgj9,A,127,L,-5.0,-50.0,0.25,3.0,2.0,1.0,1.1556999998092996,True,True
2rrjzhgj9,A,128,L,-1.0,-1.03,0.75,0.3333333333333333,1.0,0.0,0.9645,True,True
2rrjzhgj9,A,129,L,-5.0,-455.0,0.1,9.0,1.0,0.0,2.2681000001430998,True,True
2rrjzhgj9,A,130,L,-5.0,-9.5,0.1,9.0,2.0,1.0,2.0604000000954,True,True
2rrjzhgj9,A,131,L,-1.0,-2.0,0.5,1.0,1.0,0.0,2.6032999999523,True,True
2rrjzhgj9,A,132,L,-1.0,-1.1,0.5,1.0,2.0,1.0,2.0842999999522998,True,True
2rrjzhgj9,A,133,L,-10.0,-19.0,0.1,9.0,2.0,1.0,1.4117999999522999,True,True
2rrjzhgj9,A,134,L,-10.0,-110.0,0.5,1.0,1.0,0.0,1.7642000000477,True,True
2rrjzhgj9,A,135,L,-20.0,-40.0,0.5,1.0,2.0,1.0,2.2187999999523,True,True
2rrjzhgj9,A,136,L,-20.0,-1820.0,0.1,9.0,1.0,0.0,2.0669000000954,True,True
2rrjzhgj9,A,137,L,-1.0,-10.0,0.25,3.0,1.0,0.0,1.8582999999523,True,True
2rrjzhgj9,A,138,L,-1.0,-11.0,0.5,1.0,1.0,0.0,1.4452000000477,True,True
2rrjzhgj9,A,139,L,-50.0,-550.0,0.5,1.0,1.0,0.0,2.1409000000954004,True,True
2rrjzhgj9,A,140,L,-10.0,-310.0,0.25,3.0,1.0,0.0,1.2295999999046001,True,True
2rrjzhgj9,A,141,L,-20.0,-20.22,0.9,0.11111111111111108,1.0,0.0,3.3477999999523,True,True
2rrjzhgj9,A,142,L,-1.0,-91.0,0.1,9.0,1.0,0.0,1.3327999999523,True,True
2rrjzhgj9,A,143,L,-20.0,-22.0,0.5,1.0,2.0,1.0,1.9155,True,True
2rrjzhgj9,A,144,L,-5.0,-140.0,0.1,9.0,1.0,0.0,1.3878999998568997,True,True
2rrjzhgj9,A,145,L,-20.0,-26.67,0.75,0.3333333333333333,2.0,1.0,3.7960999999046,True,True
2rrjzhgj9,A,146,L,-20.0,-40.0,0.75,0.3333333333333333,2.0,1.0,3.1064000000954,True,True
2rrjzhgj9,A,147,L,-10.0,-40.0,0.25,3.0,2.0,1.0,3.4832000000476997,True,True
2rrjzhgj9,A,148,L,-50.0,-200.0,0.5,1.0,1.0,0.0,1.8673999998568998,True,True
2rrjzhgj9,A,149,L,-50.0,-66.66999999999999,0.9,0.11111111111111108,1.0,0.0,1.6432999999523,True,True
2rrjzhgj9,A,150,L,-50.0,-4550.0,0.1,9.0,1.0,0.0,1.4229000000954,True,True
2rrjzhgj9,A,151,R,10.0,20.0,0.5,1.0,2.0,1.0,2.1106999998093,True,True
2rrjzhgj9,A,152,R,10.0,110.0,0.5,1.0,1.0,0.0,2.2206999998093,True,True
2rrjzhgj9,A,153,R,1.0,4.33,0.75,0.3333333333333333,1.0,0.0,1.5963000001907002,True,True
2rrjzhgj9,A,154,R,20.0,20.67,0.75,0.3333333333333333,2.0,1.0,2.4587999999523,True,True
2rrjzhgj9,A,155,R,50.0,100.0,0.75,0.3333333333333333,2.0,1.0,1.9145999999046,True,True
2rrjzhgj9,A,156,R,10.0,40.0,0.25,3.0,2.0,1.0,1.4197999999522999,True,True
2rrjzhgj9,A,157,R,5.0,21.67,0.75,0.3333333333333333,1.0,0.0,1.2699000000954,True,True
2rrjzhgj9,A,158,R,20.0,40.0,0.5,1.0,2.0,1.0,1.6994000000954,True,True
2rrjzhgj9,A,159,R,50.0,55.56,0.9,0.11111111111111108,2.0,1.0,2.2524000000954003,True,True
2rrjzhgj9,A,160,R,20.0,42.220000000000006,0.9,0.11111111111111108,2.0,1.0,2.6359000000954,True,True
2rrjzhgj9,A,161,R,10.0,280.0,0.1,9.0,1.0,0.0,2.0582999999523,True,True
2rrjzhgj9,A,162,R,1.0,4.0,0.5,1.0,1.0,0.0,1.7962999999523,True,True
2rrjzhgj9,A,163,R,1.0,1.33,0.75,0.3333333333333333,2.0,1.0,3.0527999999523,True,True
2rrjzhgj9,A,164,R,1.0,2.0,0.5,1.0,2.0,1.0,1.6115999999046,True,True
2rrjzhgj9,A,165,R,5.0,9.5,0.1,9.0,2.0,1.0,3.1795,True,True
2rrjzhgj9,A,166,R,5.0,5.56,0.9,0.11111111111111108,1.0,0.0,2.9002999999523,True,True
2rrjzhgj9,A,167,R,5.0,10.0,0.5,1.0,1.0,0.0,3.9652000000476995,True,True
2rrjzhgj9,A,168,R,20.0,26.67,0.9,0.11111111111111108,2.0,1.0,4.8127000000477,True,True
2rrjzhgj9,A,169,R,10.0,40.0,0.5,1.0,2.0,1.0,2.7632000000476995,True,True
2rrjzhgj9,A,170,R,20.0,1820.0,0.1,9.0,2.0,1.0,2.349,True,True
2rrjzhgj9,A,171,R,20.0,40.0,0.75,0.3333333333333333,1.0,0.0,3.2505999999046,True,True
2rrjzhgj9,A,172,R,20.0,26.0,0.25,3.0,2.0,1.0,1.5559000000954,True,True
2rrjzhgj9,A,173,R,1.0,1.9,0.1,9.0,2.0,1.0,2.8036000001430996,True,True
2rrjzhgj9,A,174,R,50.0,95.0,0.1,9.0,1.0,0.0,2.6858000001907,True,True
2rrjzhgj9,A,175,R,50.0,105.56,0.9,0.11111111111111108,2.0,1.0,1.5797999999522998,True,True
2rrjzhgj9,A,176,R,5.0,10.0,0.75,0.3333333333333333,2.0,1.0,2.9399000000954003,True,True
2rrjzhgj9,A,177,R,1.0,1.1,0.5,1.0,1.0,0.0,2.1005,True,True
2rrjzhgj9,A,178,R,5.0,5.17,0.75,0.3333333333333333,1.0,0.0,3.2837000000476997,True,True
2rrjzhgj9,A,179,R,5.0,10.56,0.9,0.11111111111111108,2.0,1.0,1.3235,True,True
2rrjzhgj9,A,180,R,5.0,6.67,0.75,0.3333333333333333,1.0,0.0,2.6767999999523,True,True
2rrjzhgj9,A,181,R,10.0,11.11,0.9,0.11111111111111108,1.0,0.0,3.1319000000954,True,True
2rrjzhgj9,A,182,R,1.0,1.11,0.9,0.11111111111111108,1.0,0.0,3.0522999999522997,True,True
2rrjzhgj9,A,183,R,50.0,50.56,0.9,0.11111111111111108,1.0,0.0,1.878,True,True
2rrjzhgj9,A,184,R,10.0,310.0,0.25,3.0,2.0,1.0,1.593,True,True
2rrjzhgj9,A,185,R,10.0,100.0,0.25,3.0,1.0,0.0,2.0207999999523,True,True
2rrjzhgj9,A,186,R,10.0,10.11,0.9,0.11111111111111108,1.0,0.0,2.1969000000954,True,True
2rrjzhgj9,A,187,R,50.0,216.67,0.75,0.3333333333333333,2.0,1.0,1.5317999999523,True,True
2rrjzhgj9,A,188,R,5.0,55.0,0.5,1.0,2.0,1.0,2.3172000000476998,True,True
2rrjzhgj9,A,189,R,50.0,500.0,0.1,9.0,2.0,1.0,1.4914000000954,True,True
2rrjzhgj9,A,190,R,20.0,80.0,0.5,1.0,2.0,1.0,1.6211000001431,True,True
2rrjzhgj9,A,191,R,20.0,20.22,0.9,0.11111111111111108,1.0,0.0,2.5237000000476995,True,True
2rrjzhgj9,A,192,R,20.0,38.0,0.1,9.0,1.0,0.0,2.5244000000954,True,True
2rrjzhgj9,A,193,R,1.0,31.0,0.25,3.0,2.0,1.0,2.4210999999046,True,True
2rrjzhgj9,A,194,R,10.0,13.33,0.9,0.11111111111111108,2.0,1.0,2.2677000000476997,True,True
2rrjzhgj9,A,195,R,1.0,1.3,0.25,3.0,1.0,0.0,1.7718999998568998,True,True
2rrjzhgj9,A,196,R,10.0,100.0,0.1,9.0,2.0,1.0,1.7015,True,True
2rrjzhgj9,A,197,R,5.0,6.5,0.25,3.0,1.0,0.0,2.3294000000954003,True,True
2rrjzhgj9,A,198,R,20.0,200.0,0.25,3.0,2.0,1.0,1.6827999999523,True,True
2rrjzhgj9,A,199,R,5.0,455.0,0.1,9.0,2.0,1.0,1.5285,True,True
2rrjzhgj9,A,200,R,20.0,200.0,0.1,9.0,2.0,1.0,1.5476000001431,True,True
2rrjzhgj9,B,1,L,-10.0,-73.32,0.25,3.0,1.0,0.0,3.7595,True,True
2rrjzhgj9,B,2,L,-20.0,-20.73,0.75,0.3333333333333333,2.0,1.0,2.2845,True,True
2rrjzhgj9,B,3,L,-10.0,-21.99,0.25,3.0,2.0,1.0,2.2929000000953677,True,True
2rrjzhgj9,B,4,L,-19.0,-19.310000000000002,0.75,0.3333333333333333,2.0,1.0,2.3885,True,True
2rrjzhgj9,B,5,L,-1.0,-17.05,0.25,3.0,1.0,0.0,1.771299999952316,True,True
2rrjzhgj9,B,6,L,-10.0,-47.660000000000004,0.25,3.0,1.0,0.0,1.6955,True,True
2rrjzhgj9,B,7,L,-14.0,-105.93,0.1,9.0,1.0,0.0,3.0931000001430506,True,True
2rrjzhgj9,B,8,L,-5.0,-11.83,0.9,0.11111111111111108,2.0,1.0,3.197099999904632,True,True
2rrjzhgj9,B,9,L,-20.0,-69.64999999999999,0.25,3.0,2.0,1.0,2.276,True,True
2rrjzhgj9,B,10,L,-5.0,-61.48,0.1,9.0,1.0,0.0,1.5485999999046327,True,True
2rrjzhgj9,B,11,L,-1.0,-14.4,0.5,1.0,1.0,0.0,2.3095,True,True
2rrjzhgj9,B,12,L,-20.0,-20.01,0.9,0.11111111111111108,1.0,0.0,4.747300000190735,True,True
2rrjzhgj9,B,13,L,-5.0,-8.629999999999999,0.9,0.11111111111111108,2.0,1.0,2.3292999999523163,True,True
2rrjzhgj9,B,14,L,-20.0,-36.01,0.75,0.3333333333333333,2.0,1.0,2.6612000000476836,True,True
2rrjzhgj9,B,15,L,-1.0,-30.43,0.25,3.0,1.0,0.0,2.098,True,True
2rrjzhgj9,B,16,L,-1.0,-7.28,0.9,0.11111111111111108,1.0,0.0,1.4595,True,True
2rrjzhgj9,B,17,L,-9.0,-17.23,0.25,3.0,2.0,1.0,3.1165999999046323,True,True
2rrjzhgj9,B,18,L,-20.0,-24.71,0.75,0.3333333333333333,2.0,1.0,2.8039000000953673,True,True
2rrjzhgj9,B,19,L,-1.0,-78.52,0.1,9.0,1.0,0.0,1.8207000000476836,True,True
2rrjzhgj9,B,20,L,-20.0,-32.02,0.75,0.3333333333333333,1.0,0.0,2.4185,True,True
2rrjzhgj9,B,21,L,-10.0,-17.84,0.75,0.3333333333333333,2.0,1.0,3.008099999904632,True,True
2rrjzhgj9,B,22,L,-1.0,-8.07,0.5,1.0,1.0,0.0,1.749100000143051,True,True
2rrjzhgj9,B,23,L,-1.0,-1.01,0.9,0.11111111111111108,2.0,1.0,2.058300000190735,True,True
2rrjzhgj9,B,24,L,-1.0,-1.42,0.75,0.3333333333333333,2.0,1.0,3.4932999999523164,True,True
2rrjzhgj9,B,25,L,-1.0,-2.2600000000000002,0.5,1.0,1.0,0.0,4.044400000095368,True,True
2rrjzhgj9,B,26,L,-10.0,-11.39,0.9,0.11111111111111108,2.0,1.0,2.404099999904632,True,True
2rrjzhgj9,B,27,L,-5.0,-11.28,0.5,1.0,1.0,0.0,6.6435,True,True
2rrjzhgj9,B,28,L,-20.0,-32.96,0.5,1.0,2.0,1.0,2.5955,True,True
2rrjzhgj9,B,29,L,-10.0,-154.65,0.1,9.0,1.0,0.0,6.01,True,True
2rrjzhgj9,B,30,L,-1.0,-43.98,0.1,9.0,1.0,0.0,5.516599999904632,True,True
2rrjzhgj9,B,31,L,-10.0,-59.94,0.25,3.0,1.0,0.0,2.2033999998569493,True,True
2rrjzhgj9,B,32,L,-1.0,-9.06,0.75,0.3333333333333333,1.0,0.0,1.6443999998569487,True,True
2rrjzhgj9,B,33,L,-20.0,-28.37,0.75,0.3333333333333333,2.0,1.0,2.8218999998569494,True,True
2rrjzhgj9,B,34,L,-5.0,-93.16999999999999,0.1,9.0,1.0,0.0,1.2364000000953674,True,True
2rrjzhgj9,B,35,L,-5.0,-5.01,0.9,0.11111111111111108,2.0,1.0,3.965,True,True
2rrjzhgj9,B,36,L,-20.0,-214.23999999999998,0.1,9.0,1.0,0.0,2.2212000000476837,True,True
2rrjzhgj9,B,37,L,-20.0,-245.93,0.1,9.0,1.0,0.0,1.884,True,True
2rrjzhgj9,B,38,L,-20.0,-45.1,0.5,1.0,2.0,1.0,2.4763000001907347,True,True
2rrjzhgj9,B,39,L,-10.0,-14.33,0.9,0.11111111111111108,1.0,0.0,2.7560999999046323,True,True
2rrjzhgj9,B,40,L,-5.0,-5.46,0.5,1.0,1.0,0.0,0.8437999999523165,True,True
2rrjzhgj9,B,41,L,-19.0,-19.310000000000002,0.75,0.3333333333333333,2.0,1.0,5.390099999904632,True,True
2rrjzhgj9,B,42,L,-1.0,-1.1400000000000001,0.9,0.11111111111111108,1.0,0.0,2.291899999856949,True,True
2rrjzhgj9,B,43,L,-20.0,-277.62,0.1,9.0,1.0,0.0,4.74,True,True
2rrjzhgj9,B,44,L,-5.0,-11.55,0.25,3.0,1.0,0.0,2.9638999998569493,True,True
2rrjzhgj9,B,45,L,-1.0,-5.07,0.75,0.3333333333333333,1.0,0.0,3.612700000047684,True,True
2rrjzhgj9,B,46,L,-10.0,-35.37,0.25,3.0,2.0,1.0,2.26,True,True
2rrjzhgj9,B,47,L,-20.0,-95.31,0.25,3.0,2.0,1.0,3.02,True,True
2rrjzhgj9,B,48,L,-10.0,-10.41,0.5,1.0,2.0,1.0,1.533300000190735,True,True
2rrjzhgj9,B,49,L,-5.0,-36.11,0.25,3.0,1.0,0.0,1.5955999999046329,True,True
2rrjzhgj9,B,50,L,-10.0,-22.55,0.5,1.0,1.0,0.0,1.2763000001907352,True,True
