participant,model,choice_only,objective,success,best_start_index,message,log_k_R,log_k_L,log_beta,alpha,delta_L,log_b,log_sigma
vdnjz8uta,choice_only,True,94.63237726587802,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-1.5460307743763486,3.1773902435733508,0.787750192719612,,,,
vr0a0xs4k,choice_only,True,129.3164475585886,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-2.993748628843747,-2.1428896103401196,,,,
x71tw2ykd,choice_only,True,105.68105436257635,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-2.828800619045583,0.1693009245802803,0.2714123614609425,,,,
xh8tt6q04,choice_only,True,92.72619148975002,True,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.9579208898032899,-1.7638120627461271,0.9034348774864314,,,,
xq3i744zg,choice_only,True,120.30499398477046,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.236419806509433,2.3439319600071973,-0.6058528785181765,,,,
yj444yij9,choice_only,True,109.81380389273019,True,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.632792736149066,-1.9214387852565737,-0.06855293283080394,,,,
2rrjzhgj9,M1,False,402.19708056130196,True,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.109995525639213,-0.7677125815453727,-0.8851134293044972,0.5866951393637984,0.17018796690613103,-3.4623032007759007,-0.7345302265657937
3lmzwis6r,M1,False,359.2145989135144,True,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.1525661979868793,-0.2631193029738002,1.58622036350233,0.9153060798301721,0.22749281373448288,-2.965235602052558,-1.0031586578703435
4f8msviwg,M1,False,258.70648939855283,True,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.31342334330116234,1.1263374786147384,0.4651374504189352,0.6449458052103586,0.1743632777160231,-4.0800297465468,-1.3971470149408796
52b64k0rp,M1,False,401.5957787761269,True,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.966080937225717,4.60517,-3.6600915777296708,0.8490408449056488,-0.38619918647779805,-3.5749143778089865,-0.7718631901838745
5wlmihb4c,M1,False,317.5787754692055,True,19,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-0.8834094632827891,-0.5330508824192152,0.48605295344555854,0.21171442619015157,-4.795016678804585,-1.093173243232454
6owg3par9,M1,False,395.3377554739753,True,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2982408970859033,-0.2782189522944105,1.2790510209214836,0.7454347937592847,-0.008746305654992598,-2.7628272481940126,-0.7967778120426401
8py7pm5i0,M1,False,252.78854556284242,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-2.0526045768290113,-0.8475791139227912,-0.958946228587272,0.2475543359153693,0.07896155554330354,-4.245050666106492,-0.8559627144870918
95vrrzevd,M1,False,249.72438179792601,True,18,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-1.8773557463314512,3.0236814780648587,0.07380338173906527,0.6055870649082544,0.012245815867420672,-3.7425097422468028,-1.1854308872120114
