generating_model,fitted_model,replicate,sample_kind,source_participant,success,objective,best_start_index,near_boundary,message,true_log_k_R,true_log_k_L,true_log_beta,true_alpha,true_delta_L,true_log_b,true_log_sigma,estimate_log_k_R,estimate_log_k_L,estimate_log_beta,estimate_alpha,estimate_delta_L,estimate_log_b,estimate_log_sigma
M3,M2,12,stress,c0ry57ax9,True,309.2283092233877,7,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.666728221050156,-1.3592437435390807,-2.6911013030457016,0.3648262281456469,0.2086689685805566,-4.41059773783556,-0.9355946095568324,1.510181682595224,-0.029445598399120296,-1.6785895652220617,0.40901627722429246,0.08013673682344936,-7.206515446851692,-0.9748069689295982
M3,M3,12,stress,c0ry57ax9,True,307.0473500810276,15,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.666728221050156,-1.3592437435390807,-2.6911013030457016,0.3648262281456469,0.2086689685805566,-4.41059773783556,-0.9355946095568324,1.5504957067256033,-1.0597874574610808,-2.0301096836008568,0.4382422374625771,0.10378819965394495,-3.907943424596728,-0.9782422239272337
M3,choice_only,13,stress,omy06qkfz,True,132.74689446487784,10,False,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,3.435923333612439,0.4094946484509231,-1.599290924584846,0.4957737560377482,0.4604481163972279,-4.642763003490507,-0.7672233410902314,2.0658572862415765,0.5204862665653083,-1.3046055926581523,,,,
M3,M1,13,stress,omy06qkfz,True,427.06378252612984,13,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.435923333612439,0.4094946484509231,-1.599290924584846,0.4957737560377482,0.4604481163972279,-4.642763003490507,-0.7672233410902314,1.9632290912011983,0.6576938010151354,-1.257842524387144,0.5355586325119717,0.42701326118739136,-3.8635863536825865,-0.6725030175573179
M3,M2,13,stress,omy06qkfz,True,427.1635939755328,4,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.435923333612439,0.4094946484509231,-1.599290924584846,0.4957737560377482,0.4604481163972279,-4.642763003490507,-0.7672233410902314,2.0459942746710174,0.8304453318581688,-1.2064904112371269,0.5198079767099039,0.42697175352040123,-6.232944244594943,-0.672671857356807
M3,M3,13,stress,omy06qkfz,True,425.59101628245594,16,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.435923333612439,0.4094946484509231,-1.599290924584846,0.4957737560377482,0.4604481163972279,-4.642763003490507,-0.7672233410902314,2.0957254178099176,0.6374863604586224,-1.258931980329641,0.5594013305514732,0.44156866591878147,-3.4031298475575498,-0.6788602204317649
M3,choice_only,14,stress,o7piq7dwr,True,123.55711757138135,1,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.38054781964675,-0.1493401416602541,-1.1415741639926118,0.3347632346457274,0.1898020729699124,-4.687145993232645,-1.182808386417087,3.562564352044042,-0.5103868690181934,-1.0409114911958972,,,,
M3,M1,14,stress,o7piq7dwr,True,244.3955014830178,5,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.38054781964675,-0.1493401416602541,-1.1415741639926118,0.3347632346457274,0.1898020729699124,-4.687145993232645,-1.182808386417087,3.5578801828081335,-0.27472693767263656,-0.9818032796966314,0.2835198531906016,0.23469677317018206,-5.188316627586673,-1.2109646265904435
M3,M2,14,stress,o7piq7dwr,True,245.5576284011691,1,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.38054781964675,-0.1493401416602541,-1.1415741639926118,0.3347632346457274,0.1898020729699124,-4.687145993232645,-1.182808386417087,3.5192520102138514,0.003198638164809482,-0.9296875218013316,0.27656886778001355,0.23516275756488061,-8.258137639665524,-1.2119447925915687
M3,M3,14,stress,o7piq7dwr,True,243.83909413769834,1,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.38054781964675,-0.1493401416602541,-1.1415741639926118,0.3347632346457274,0.1898020729699124,-4.687145993232645,-1.182808386417087,3.528778243782393,-0.31822263903821146,-0.9905284586738993,0.2842894586499856,0.24442051079611263,-4.728475861695495,-1.2119046225485663
M3,choice_only,15,stress,orxx7nl6z,True,131.74906470473243,9,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4.083887116178431,0.1016249497124417,-1.117724210408765,-0.237917362490094,0.0234489667992464,-4.705077005380049,-0.2749527230812751,2.546827020455938,-0.8229751695277439,-1.8049575398128401,,,,
M3,M1,15,stress,orxx7nl6z,True,340.1753040149865,14,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4.083887116178431,0.1016249497124417,-1.117724210408765,-0.237917362490094,0.0234489667992464,-4.705077005380049,-0.2749527230812751,2.6114404415822814,-0.489218173678783,-1.677167104766158,-0.09951712233504077,-0.021021843821351697,-4.814875578092043,-0.2560873554975133
M3,M2,15,stress,orxx7nl6z,True,341.60776833525944,19,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4.083887116178431,0.1016249497124417,-1.117724210408765,-0.237917362490094,0.0234489667992464,-4.705077005380049,-0.2749527230812751,2.5406201162918527,0.055376542642926845,-1.5278220029650327,-0.10711212825708372,-0.025176556896001425,-7.670501602238947,-0.2558690976252573
M3,M3,15,stress,orxx7nl6z,True,339.671578136366,8,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4.083887116178431,0.1016249497124417,-1.117724210408765,-0.237917362490094,0.0234489667992464,-4.705077005380049,-0.2749527230812751,2.5139973912264884,-0.5320398229132581,-1.6924992528693463,-0.09269225223752914,-0.0120844681762646,-4.3286620422960205,-0.25686670025794034
M3,choice_only,16,stress,bh348lli7,True,9.88922437709633,16,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.8559884972067704,-3.305381265512163,4.60517,-0.6233200686953921,-0.1894538895773403,-6.35198372839159,-0.8841343363339458,2.854289070943503,-3.304920162816743,4.60517,,,,
M3,M1,16,stress,bh348lli7,True,-17.77603719228884,18,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.8559884972067704,-3.305381265512163,4.60517,-0.6233200686953921,-0.1894538895773403,-6.35198372839159,-0.8841343363339458,2.8565416337217275,-3.127127723003289,4.60517,-0.6400001463400812,-0.18829319821551987,-6.954298437033867,-0.8422094624040268
M3,M2,16,stress,bh348lli7,True,-9.296710041363356,5,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.8559884972067704,-3.305381265512163,4.60517,-0.6233200686953921,-0.1894538895773403,-6.35198372839159,-0.8841343363339458,2.854409109201068,-2.7030723937240526,4.60517,-0.6410699494197727,-0.18653941497458457,-11.512925,-0.8300653546916967
M3,M3,16,stress,bh348lli7,True,-18.727632164604444,15,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.8559884972067704,-3.305381265512163,4.60517,-0.6233200686953921,-0.1894538895773403,-6.35198372839159,-0.8841343363339458,2.852352437635135,-3.145313761206813,4.60517,-0.6392431963051014,-0.18719848651865278,-6.3624373579310145,-0.8429273736165724
M3,choice_only,17,stress,vr0a0xs4k,True,134.9746111167739,9,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.941968475552262,1.0732964324348309,-0.894450296639881,0.1531033985356579,0.3561283300134021,-4.046136049263589,-0.9682937642330396,2.680784572807386,0.9941773914876713,-1.3905528986126177,,,,
M3,M1,17,stress,vr0a0xs4k,True,284.0260539926932,9,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.941968475552262,1.0732964324348309,-0.894450296639881,0.1531033985356579,0.3561283300134021,-4.046136049263589,-0.9682937642330396,2.390654978359938,1.2608678774485131,-1.3141735654101951,0.13856561772706988,0.3300049292447439,-3.2526405735858757,-0.9389659471860311
M3,M2,17,stress,vr0a0xs4k,True,283.9697059163695,6,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.941968475552262,1.0732964324348309,-0.894450296639881,0.1531033985356579,0.3561283300134021,-4.046136049263589,-0.9682937642330396,2.543301751763198,1.4020299310755544,-1.3031429860562955,0.12208952800804761,0.3284795051141685,-4.8816237562495814,-0.9395575158584827
M3,M3,17,stress,vr0a0xs4k,True,284.2639227024143,19,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.941968475552262,1.0732964324348309,-0.894450296639881,0.1531033985356579,0.3561283300134021,-4.046136049263589,-0.9682937642330396,2.9136973011015828,1.1109767524496803,-1.370569514550097,0.13617193423540247,0.3483097477055276,-3.4339004882545034,-0.9376200781641726
M3,choice_only,18,stress,c0ry57ax9,True,133.0180504241982,12,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.666728221050156,-1.3592437435390807,-2.6911013030457016,0.3648262281456469,0.2086689685805566,-4.41059773783556,-0.9355946095568324,1.2903691432107594,0.3539510994167834,-1.5299277045284714,,,,
M3,M1,18,stress,c0ry57ax9,True,323.89051656345214,9,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.666728221050156,-1.3592437435390807,-2.6911013030457016,0.3648262281456469,0.2086689685805566,-4.41059773783556,-0.9355946095568324,1.020728750592925,0.240972845034311,-1.6744843989225326,0.3806029586877526,0.1809588121018272,-4.036048038945563,-0.9084457471410986
M3,M2,18,stress,c0ry57ax9,True,324.05742533340396,4,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.666728221050156,-1.3592437435390807,-2.6911013030457016,0.3648262281456469,0.2086689685805566,-4.41059773783556,-0.9355946095568324,1.1331212894587654,0.7114103948096135,-1.4601555953300875,0.3682462153324952,0.17592111148038023,-6.314087002048304,-0.9079017339329215
M3,M3,18,stress,c0ry57ax9,True,324.0007955093072,19,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.666728221050156,-1.3592437435390807,-2.6911013030457016,0.3648262281456469,0.2086689685805566,-4.41059773783556,-0.9355946095568324,0.9425161573732277,-0.4140688402723088,-2.014767914512324,0.39224879600375506,0.1884338169654535,-4.0622425620249505,-0.9097763863632067
M3,choice_only,19,stress,omy06qkfz,True,121.5051702848742,17,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.435923333612439,0.4094946484509231,-1.599290924584846,0.4957737560377482,0.4604481163972279,-4.642763003490507,-0.7672233410902314,1.9882416825382274,0.39028138797091205,-0.5275377113532986,,,,
M3,M1,19,stress,omy06qkfz,True,378.9280396369645,7,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.435923333612439,0.4094946484509231,-1.599290924584846,0.4957737560377482,0.4604481163972279,-4.642763003490507,-0.7672233410902314,1.9956642549627837,0.3881458317169195,-0.5278082527973791,0.4401667974136126,0.5436462435593635,-4.259509179788186,-0.827107611779277
M3,M2,19,stress,omy06qkfz,True,379.1384460712705,2,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.435923333612439,0.4094946484509231,-1.599290924584846,0.4957737560377482,0.4604481163972279,-4.642763003490507,-0.7672233410902314,1.992571299092648,0.5274346933106598,-0.4941706645102907,0.4287866840464134,0.5433925414582953,-6.944830729048292,-0.8277425416156091
M3,M3,19,stress,omy06qkfz,True,379.4863939629856,3,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.435923333612439,0.4094946484509231,-1.599290924584846,0.4957737560377482,0.4604481163972279,-4.642763003490507,-0.7672233410902314,2.009272148170942,0.3669525140441648,-0.5336245737656631,0.44579860841287855,0.5445382186453063,-4.259255704286709,-0.8250957292112059
M3,choice_only,20,stress,o7piq7dwr,True,124.5955312024334,7,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.38054781964675,-0.1493401416602541,-1.1415741639926118,0.3347632346457274,0.1898020729699124,-4.687145993232645,-1.182808386417087,2.848524516679805,0.04756076648694472,-0.8902590260709945,,,,
M3,M1,20,stress,o7piq7dwr,True,244.94169464612574,5,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.38054781964675,-0.1493401416602541,-1.1415741639926118,0.3347632346457274,0.1898020729699124,-4.687145993232645,-1.182808386417087,2.8769655030662684,0.3151278042439852,-0.8270176692260224,0.3235214355458042,0.18636113221385003,-4.919313886972683,-1.2292760298644432
M3,M2,20,stress,o7piq7dwr,True,246.33583999723706,15,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.38054781964675,-0.1493401416602541,-1.1415741639926118,0.3347632346457274,0.1898020729699124,-4.687145993232645,-1.182808386417087,2.7991739036110728,0.4838036524456176,-0.7924102875843154,0.3158592718113508,0.18610068973714947,-7.838781466988522,-1.22747081837992
M3,M3,20,stress,o7piq7dwr,True,243.00220042462448,18,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3.38054781964675,-0.1493401416602541,-1.1415741639926118,0.3347632346457274,0.1898020729699124,-4.687145993232645,-1.182808386417087,2.73799145575582,0.37541206592866605,-0.7991193930695155,0.3330800609941091,0.2008702247428393,-4.119325280980911,-1.236599544958616
M3,choice_only,21,stress,orxx7nl6z,True,118.0851325660597,1,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4.083887116178431,0.1016249497124417,-1.117724210408765,-0.237917362490094,0.0234489667992464,-4.705077005380049,-0.2749527230812751,3.482912488004239,0.7851863847610477,-0.44592748194882126,,,,
M3,M1,21,stress,orxx7nl6z,True,295.61378490887154,10,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4.083887116178431,0.1016249497124417,-1.117724210408765,-0.237917362490094,0.0234489667992464,-4.705077005380049,-0.2749527230812751,3.366349102555097,0.8632208133970469,-0.4227947288183869,-0.2582926734409645,0.10822340146561671,-3.1461944101044534,-0.2705422316794469
M3,M2,21,stress,orxx7nl6z,True,295.1058738591519,1,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4.083887116178431,0.1016249497124417,-1.117724210408765,-0.237917362490094,0.0234489667992464,-4.705077005380049,-0.2749527230812751,3.408888226526816,0.8370440164066141,-0.4304043823635306,-0.3011862836125177,0.12806735250793372,-5.514083113219879,-0.27303408602417883
M3,M3,21,stress,orxx7nl6z,True,296.36367391028546,17,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4.083887116178431,0.1016249497124417,-1.117724210408765,-0.237917362490094,0.0234489667992464,-4.705077005380049,-0.2749527230812751,3.5209913231309558,0.7890007653308638,-0.448241794949006,-0.28134625953768466,0.14662245870426469,-3.3087057857332454,-0.26736448368053584
M3,choice_only,22,stress,bh348lli7,True,13.74834242444417,7,False,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,2.8559884972067704,-3.305381265512163,4.60517,-0.6233200686953921,-0.1894538895773403,-6.35198372839159,-0.8841343363339458,2.9767195267839868,-2.8008390365475613,4.338070436908391,,,,
M3,M1,22,stress,bh348lli7,True,-18.771034867724797,1,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.8559884972067704,-3.305381265512163,4.60517,-0.6233200686953921,-0.1894538895773403,-6.35198372839159,-0.8841343363339458,2.9333524151556682,-2.7083190534337427,4.417927081146051,-0.6421624868726995,-0.07925033245917046,-5.805956577206434,-0.8963035553479954
M3,M2,22,stress,bh348lli7,True,-11.253432901253182,15,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.8559884972067704,-3.305381265512163,4.60517,-0.6233200686953921,-0.1894538895773403,-6.35198372839159,-0.8841343363339458,2.876167289804621,-2.588293521920123,4.553341388145655,-0.6458622450369144,-0.0926524994497002,-11.145194533502572,-0.890795410344363
M3,M3,22,stress,bh348lli7,True,-19.690982794105913,8,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.8559884972067704,-3.305381265512163,4.60517,-0.6233200686953921,-0.1894538895773403,-6.35198372839159,-0.8841343363339458,2.9467870162702328,-2.713918206756918,4.409662835856338,-0.63957732166417,-0.07307293318370836,-5.150318751925402,-0.8975201290624139
