generating_model,replicate,sample_kind,participant,run,fitted_model,fit_success,condition,run_b_rt_mlpd,n_rt,out_of_support_trial_fraction,n_in_support,n_out_of_support,in_support_rt_mlpd,out_of_support_rt_mlpd
M1,12,nominal,M1_nominal_0012,B,M3,True,R,-0.9885113187755694,100,0.0,100,0,-0.9885113187755694,
M1,12,nominal,M1_nominal_0012,B,M3,True,L,-1.1081067496994528,100,0.0,100,0,-1.1081067496994528,
M1,13,nominal,M1_nominal_0013,B,M1,True,R,-1.353567525941984,100,0.0,100,0,-1.353567525941984,
M1,13,nominal,M1_nominal_0013,B,M1,True,L,-1.7250106651550408,100,0.01,99,1,-1.722717036736544,-1.9520798785862026
M1,13,nominal,M1_nominal_0013,B,M2,True,R,-1.3530637106502519,100,0.0,100,0,-1.3530637106502519,
M1,13,nominal,M1_nominal_0013,B,M2,True,L,-1.733139919062073,100,0.01,99,1,-1.7304117096842686,-2.0032326474647126
M1,13,nominal,M1_nominal_0013,B,M3,True,R,-1.3572632569023384,100,0.0,100,0,-1.3572632569023384,
M1,13,nominal,M1_nominal_0013,B,M3,True,L,-1.7251623970596386,100,0.0,100,0,-1.7251623970596386,
M1,14,nominal,M1_nominal_0014,B,M1,True,R,-1.2369391685114453,100,0.0,100,0,-1.2369391685114453,
M1,14,nominal,M1_nominal_0014,B,M1,True,L,-1.552507949940196,100,0.01,99,1,-1.553597358437673,-1.4446565086899728
M1,14,nominal,M1_nominal_0014,B,M2,True,R,-1.2370328063703961,100,0.0,100,0,-1.2370328063703961,
M1,14,nominal,M1_nominal_0014,B,M2,True,L,-1.5479731205582001,100,0.0,100,0,-1.5479731205582001,
M1,14,nominal,M1_nominal_0014,B,M3,True,R,-1.2418872273726125,100,0.0,100,0,-1.2418872273726125,
M1,14,nominal,M1_nominal_0014,B,M3,True,L,-1.558837055200145,100,0.0,100,0,-1.558837055200145,
M1,15,nominal,M1_nominal_0015,B,M1,True,R,-1.4883535077542984,100,0.06,94,6,-1.494068387363021,-1.3988203938843107
M1,15,nominal,M1_nominal_0015,B,M1,True,L,-1.4660428754258215,100,0.0,100,0,-1.4660428754258215,
M1,15,nominal,M1_nominal_0015,B,M2,True,R,-1.4889406611040001,100,0.11,89,11,-1.5216087165593208,-1.2246263942382218
M1,15,nominal,M1_nominal_0015,B,M2,True,L,-1.4725458464745407,100,0.01,99,1,-1.474209438705074,-1.307850215651735
M1,15,nominal,M1_nominal_0015,B,M3,True,R,-1.4868858935849776,100,0.0,100,0,-1.4868858935849776,
M1,15,nominal,M1_nominal_0015,B,M3,True,L,-1.4675860974933415,100,0.0,100,0,-1.4675860974933415,
M1,16,nominal,M1_nominal_0016,B,M1,True,R,-1.3717833940106359,100,0.0,100,0,-1.3717833940106359,
M1,16,nominal,M1_nominal_0016,B,M1,True,L,-1.6314585439509046,100,0.02,98,2,-1.6407084477456606,-1.1782132580078584
M1,16,nominal,M1_nominal_0016,B,M2,True,R,-1.3730697768763453,100,0.0,100,0,-1.3730697768763453,
M1,16,nominal,M1_nominal_0016,B,M2,True,L,-1.6360955109867594,100,0.02,98,2,-1.6469162103014514,-1.105881244566873
M1,16,nominal,M1_nominal_0016,B,M3,True,R,-1.3702916600679966,100,0.0,100,0,-1.3702916600679966,
M1,16,nominal,M1_nominal_0016,B,M3,True,L,-1.6293904700091852,100,0.0,100,0,-1.6293904700091852,
