participant,model,choice_only,objective,success,best_start_index,message,log_k_R,log_k_L,log_beta,alpha,delta_L,log_b,log_sigma,fit_run,multistarts_used,config_sha256,processed_data_sha256,data_pipeline_sha256,git_commit,runtime_sha256
iogaivfgt,choice_only,True,116.43006059701123,True,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9888189244711932,0.2735783802951562,-0.4122905589202411,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
ir0t9ca41,choice_only,True,114.08307171383322,True,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.13467009251541356,-0.049818736457425364,-0.6832189500102566,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
jtf46arcd,choice_only,True,116.90653301379274,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4395202291308544,-1.8129856965876605,-1.222836994092163,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
kimjztxjq,choice_only,True,113.5857955468134,True,19,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7293324369711252,0.8611903506319842,-0.21587651937327718,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
kqi5vqk0e,choice_only,True,102.22301010076703,True,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.8348630209441503,0.265490762136131,0.16377210690366714,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
ljm2sl8s0,choice_only,True,89.90349475367513,True,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0163651811340333,-0.02051367142537281,0.7798942115496421,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
mu73zwng6,choice_only,True,120.61893458907502,True,17,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.5155769687761302,0.4349049363624262,-0.5218538646230412,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
n08qsd76x,choice_only,True,117.91028037059654,True,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.022868092840665,0.7628485600914202,-0.3481408205126926,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
nvbinkqjq,choice_only,True,110.96679837628606,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.34271379242203,-0.7785400311582649,-0.4585416649372861,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
o7piq7dwr,choice_only,True,126.96880026570132,True,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.4035586739564114,-0.10857243226465789,-1.1290163925194763,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
od96gfdym,choice_only,True,111.43567798040108,True,16,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.253601529994409,-0.19503407112277873,-0.1719132667022308,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
omy06qkfz,choice_only,True,134.72584099982845,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.42288260449723,0.35307202881791616,-1.621845858304718,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
orxx7nl6z,choice_only,True,127.66291612602777,True,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.083137226870915,0.022604027294451153,-1.1400816295072271,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
p5lejwwzi,choice_only,True,126.30353472657609,True,17,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.05064195302221641,-1.2980316324497445,-2.152873685610534,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
qhp782ect,choice_only,True,99.1248361807671,True,19,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0042099576268604,-2.1093482806020405,-0.002750733338129168,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
